"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"LoveofLegacy","12 October 2018","Venom has such potential as a character, but I can't help but feel the movie missed the mark. Even though it had some good moments and action sequences, the script was all over the place. I can't help but think that this movie didn't know what it wanted to be: action, horror, romance or comedy. It came off as a lukewarm mix of all four. I appreciated that they tried something new, but it's just not my thing.","
            10/10
            "
"martinrosamond","12 December 2018","What a cracking film absolutely superb I couldn't believe it it was so well made and funny as well in parts but it was really really good one of the best films I've seen in a long time anybody the gives 7 have no taste the film should be given a 15 out of 10 superb quality film paid by a really good actor as well but Anton
who's the director is an absolute superb director.","
            10/10
            "
"kamau-15267","6 October 2018","It's a nice great move just buy the ticket and enjoy. Who care about critics.","
            10/10
            "
"nogodnomasters","15 October 2018","Rich man Carlton Drake (Riz Ahmed) brings back life from a passing comet. These life forms combine with humans and form a dual life. Reporter Eddie Brock (Tom Hardy) becomes one of those that combine with an alien. This is a different kind of superhero, more on the order of Deadpool who crosses lines of good and evil. Like most of the Marvel series, the film has great special effects, a long dragged out climax fight that is too long, humor, and a Stan Lee cameo. This one also has 1 F-word.","
            9/10
            "
"rickysayet","26 December 2018","Well critics always say they are the best to judge movie. Sorry only we as fans know what best and what not best movie. And include this one too. I think nothing wrong with venom. It has great cast, tom hardy, great storyline i think. So what the problem. So whoever not yet watch this, i greatly recommend it to you, IGNORE critics.","
            9/10
            "
"raskarl","3 October 2018","I went to this film with no real expectation beyond knowing that Tom Hardy was playing in the main role and Venom is from the Spider-verse. I walked away thinking what a fabulous job had been done to bring good mixture of action and comedy. I really enjoyed this film and am unsure why people would have rated it down. I've heard some say the acting was sub-par, that is not something I noticed to be honest. I don't go to these types of movies expecting Oscar worthy performances, but to be entertained for an hour or so. This film achieved that easily and surpassed expectations. I even had a few laughs thrown in for good measure.
If you are on the fence about whether to see this film, I would recommend you go see it - you're not likely to regret it. Also, I'm 80% there is going to be an epic sequel sometime in the not too distant future!
-Update; I went to see the film again for a second time...still hit the spot! Great soundtrack and there's a short clip about an upcoming animation film featuring some characters from the Spider-verse. It is literally buried right at the end of the credits (would have missed it unless I had to been told wait for it, so I'm paying it forward).","
            6/10
            "
"Andrew_Wiper","29 October 2018","Fun, wacky, over the top violence and a brazenly mad performance from Tom Hardy make this a pleasing experience at the movies. At under 2 hours it doesn't overstay its welcome. Ruben Fleischer who directed Zombieland, takes the director's chair For Venom and like Zombieland, makes a movie that you go to to have a good ol' time at the cinema! It doesn't take itself too seriously, has many moments of humour, and also many scary scenes too. Very cool visual effects! Tom Hardy only adds to the movie's likeability, because he knows how to play a down to earth character, and a mad man at the same time. The director and producers, it was said were paying a lot of homage to Films of David Cronenberg and John Carpenter. I couldn't help but think of The Thing while watching this, and yes if you enjoy movies like The Thing, and the crazy body horror of David Cronenberg, you will no doubt enjoy this. Take that and add it into a marvel movie about a hero/anti-hero and you have Venom. Sure they could have made it R rated, but honestly it didn't really bother me that much. It seemed like they pushed the PG-13 rating as far as they could go with this. A definite theatre watch! 8.5/10","
            7/10
            "
"fierce221","18 October 2018","I don't have much to say about the movie itself other than it was great. My entire group of 8 people thoroughly loved the movie, some even spouting that it was the best movie they'd seen in a few years. Now, here's the warning: you know how Marvel movies always have a clip after the credits?? Do NOT stay to watch the clip after credits. It is an ADVERTISEMENT for that terrible cartoon Spiderman that you'll likely see in the trailers. My group sat through 10+ minutes of credits to see what was after them, and we were lividly disappointed. It has nothing to do with Venom and it left us all genuinely angry. Please don't sit through the whole long list of credits only to disappoint yourselves. We all left the theater angry and ranting about it.","
            1/10
            "
"oliverriordan","1 December 2021","""Venom"" is a very unnecessary movie that does little to justify it's existence, with the movie banking heavily on the success of the character in the comic medium. In the end very little seems to happen, and while Tom Hardy is clearly giving his all, it doesn't save the movie from a bland and very mediocre final result.","
            10/10
            "
"hutomo_gates","3 October 2018","Nothing too special for the plot. A cliche plot for superhero movies, even though Venom is not a superhero. He is a Anti-hero. There are several dialogues that are not too strong to deliver the message. Some scenes should be epic but its ruined by some bad dialogues. Some actor's acting seemed futile with these deficiencies. The climax of final fight is not too 'wow'. The conclusions of final battle is not clear enough. Music score is not that specialSome positive aspects that can saved this movie are relationship between Eddy and Venom. Dialogues between Eddy and Venom can be ice breaker or melt the tense in some scenes. Some Eddy and Venom's interactions also generate some comedy scene and it's quite entertaining. Awesome final battle between Venom versus Riot. It's very exciting and the CGI is very quite stunning","
            5/10
            "
"Mccadoo","4 June 2019","I've suspected for some time now that many of the positive reviews on this site are bogus. Reading the reviews for this movie are the final proof I need;10 out of 10 reviews with over the top title lines like; ""Best movie ever"" or ""A masterpiece"". Hundreds and hundreds of them in which the reviewer writes a single paragraph, or even less at times, that does nothing more than tout how great the movie is and that you should ignore the critics and go see it. Something stinks here folks.And this movie convinces me because it got a whole lot of those 10/10 reviews and it is absolutely terrible. I mean, just awful. And yes, I know that here are a lot of brain dead drones out there who think any superhero movie is the equivalent of classic literature and gush over all of them, however awful they are. But not enough of them to account for so many 10's for such a bad movie.Why was it bad? Where do I start;Tom Hardy's character came across as a learning impaired teenager with a room temperature IQ. He talked liked a dolt, his actions throughout the movie made no sense, unless he was in fact at dolt. He was supposed to be a crack reporter yet his reporting style was atrocious and his sense of what reporters actually do was utterly absent. For a really good actor his performance was really bad.Michelle Williams; not even sure why she was in this movie unless it was for a paycheck. She was totally miscast and just not believable at all in her role. She couldn't pull of the funny bits (or what the director thought was funny) and she had zero chemistry with Hardy.The villain was about as villainous as a cranky high school kid. His actions in the movie were so illogical and senseless as to be stupid. You never understood what his motivation could possibly be because he didn't seem to know himself. And his staff were the most moronic bunch of scientists and doctors to appear on film since...well, since forever. As illogical and unmotivated as their boss was they were even more so. They were a bunch of sheep following along whatever he did. Oh, except for one of them, the woman who decided to turn whistleblower to Hardy's character then proceeded to do it in the most idiotic way possible. She may as well have come to work with a sign around her neck telling everyone it was her who let Hardly into the facility. Then she just sat in her office and waited to be killed. No one is that clueless.Humor; there was none even though the director and writer tried to inject it into the movie at every turn. Every single attempt fell so flat you could hear the thud in the theatre. The banter between Hardy's character and Venom sounded like the ramblings of two twelve year old's trying to be clever and failing miserably at it. It was immature and forced and just not funny. Michelle Williams character was just not clever, every time she tired to be edgy it was just embarrassing to watch. Trying to be Deadpool when you've already put together a putrid film is never going to go well.And finally, the CGI is this movie was truly awful. When I saw the previews I thought Venom looked like something from a kids Saturday morning cartoon show and assumed that in the movie it would be better. It wasn't, it still looked like a kids cartoon show. Venom was totally unbelievable as a real live entity, he just simply looked like a cartoon. And the non-threatening villain at the end even more so. They looked like special effects from a 80's or 90's movie only worse. Just absolutely terrible, I'd say it ruined the movie except that the movie was already ruined before Venom even made his first appearance.This is at best a mediocre children's movie, and I'm being kind. So yes, by all means DO believe the critics and avoid this train wreck at all cost.","
            7/10
            "
"wannasmokebefore","13 December 2018","This is a must see! I like that it's associated with marvel but still done independently from marvel. This is now one of my favorite villain movies. You won't regret watching it. It was done very differently but in a very good way.","
            10/10
            "
"deothor","2 December 2018","I'll make a short list of things i think about this movie:
action is good but sooooooooooooooo dumb. Chase scene almost begs for brain lobotomysuperhero fight scenes are Marvel-level of greatmain character, Eddie, doesn't work even 1 tiny bit. he simply doesn't match at all. His jokes are so cringy. His acting skills are also off, as if he tries to act like an idiot in some kind of light hearted comedy. Not to mention he's portrayed as an ahole. Yeah.. totally offputting.venom jokes are coolmain villain is god-awful level of ""i am bad so i'll do bad things like all bad guys do""Overall it's alot better than other SONY takes on heroes-genre (amazing sipderman crap ugh), but overall it's kinda meh.","
            8/10
            "
"The-Sarkologist","5 October 2018","Now that Spiderman is back in the hands of Marvel, well sort of, it looks as if Sony needs to start digging around with what's left to see if they can turn it into a franchise. Well, they've had two shots at Spiderman, one one of them did have Venom pop in as a sort of bad guy, but it seems that he now has his own movie, albiet a much darker one. Basically the story is that we have this evil billionaire who found some parasites in space and decided to bring them back to Earth. However the ship crashed and one of them managed to escape. The other three though made it back to San Francisco.
 Then we have our hero, who happens to be a reporter, and it seems that everything is going right for him, expect that he decides to start digging where he shouldn't be digging, and suddenly finds himself out of work and without a girlfriend. I guess that's what happens when an investigative reporter is just a little too good at their job, and also asks just one too many questions that they shouldn't be asking - billionaires, especially evil ones, have a really nasty habit of making life really, really difficult for you.
 However, it turns out that he is given another chance to start digging up some dirt on this guy, namely because one of his scientists decides that she really doesn't like, well, ignoring the rules, so she sneaks him into the lab, where he suddenly finds himself in the same room with one of the parasites, and is subsequently infected. So, he we have it, the Venom origin story. You can probably guess what happens from there though - he faces the bad guy, almost dies, but is eventually successful and things start getting back on track. Sure enough, we also have Stan Lee and a mid-credits scene that sort of teases us for the next film in the series.
 The thing that caught me with Venom though was that it didn't seem to be all that long. Look, that isn't a bad thing, and sometimes short movies can actually be pretty good movies, particularly since they drop all of the really boring stuff out of it. Yeah, this film was actually quite fun, though I did find that the Venom costume was just a little too tacky for my tastes. I would say that I liked the story, and the character, but when it came to Venom being Venom, well, it did come across a little bit too cartoonish, but then again I suspect that it is somewhat closer to the comics than the MCU heroes.","
            7/10
            "
"namikazedante","12 February 2019","I was expecting this movie to be terrible after so many was hating on it and today I finally got my chance to see it and I gotta say everyone especially in the media doesn't know what they're talking about.This movie is better than Spider-man: Homecoming. I really didn't like it. I mean it was okay but not even near what a Spider-Man movie should be like.Anyway ! This movie had jokes that were actually funny. A main character that you actually felt and cared for. I think they made a fantastic job with a anti-hero that would be very difficult to put in a good light. Especially someone as bad as Venom. But where was Tom Hardy when they made that awful version of Venom in the third spider-man movie? He is perfect as Eddie Brock. And I really hope they make another movie with Spider-Man and Venom.Anyway it was a exciting, fun and interesting movie. And don't listen to all the haters because this is a movie worthy a watch.","
            10/10
            "
"jeymatt","10 October 2018","Go and watch it! Not your usual superhero movie, But the plot is awesome on how the horrific man eating alien Venom came about from villain to superhero! Exciting and thrilling with great CGI effects! p/s: do stay back for post-credit scenes!","
            8/10
            "
"CANpatbuck3664","7 October 2018","In most big budget action movies, the first complaint you hear is CGI overload. This is one of the rare occasions where I can say the CGI being so impressive was one of the best parts of Venom. Venom looks awesome as a creature, the way they chose to animate his look and his movement was impressive. The movie is also shot pretty well, they shoot in a lot of dingy locations before Eddie (Tom Hardy) interacts with Venom to help ground the movie, and I thought the action was handled pretty well. I wish that we had got the R-rated version to really see the potential of what Venom could do as a villain, but I liked the majority of the action scenes regardless.We get to spend a decent portion of the movie with Eddie before we get introduced to Venom and while the overall plot isn't completely fresh, I didn't think it was as bad or as routine as the critics did. They aren't breaking new ground in the genre with Eddie's story from laughing stock to redemptive hero, but it gets the job done. We get some unique banter from Eddie and Venom that had me laughing at different times in the movie. It was also a little hit or miss (which is true for all the dialogue in the script), but I chuckled like everyone else in the theatre did. Did Venom have a few plot holes? Yes, it did but the movie doesn't linger on them and with Tom Hardy's crazy performance, I was able to go along for the ride Venom's cast features actors and actresses that I wouldn't have pictured being interested in this movie. Tom Hardy is a great actor and I think casting him was a good decision. He brings something to this role and he does as much as he possibly can with this material. My only note is that Eddie as a character seems to act like he's a little younger than Hardy, so he may be a little old for the part. But otherwise, he was one of the best parts of the movie. I really like Riz Ahmed too, he's transitioning to bigger and bigger projects and I've yet to see him in anything where he wasn't a standout (check out The Reluctant Fundamentalist and The Night Of). I think he's miscast here; the character calls for him to be a little more sinister and animated yet he's oddly reserved. He had his moments, he gives a speech to a test subject about the biblical story of Abraham and Isaac that was well delivered but they needed another actor. Michelle Williams rarely appears in blockbuster movies, she does her job capably, but she gets the short end of the stick. Her character is a little generic and aside from one scene, there isn't much for her to do here. I will also credit Jenny Slate who did a solid job in her scenes.The most pronounced criticism that the critics have lobbied against this movie that I can agree with is that the scene transitions in Venom are oddly sloppy. When I say that, I'm not referring to character decisions or to tonal swings (both have their off moments going into the final turn, especially with Eddie/Anne romance) I mean the movie just doesn't flow from scene to scene. There could be pieces missing that fill in the blanks (Tom Hardy's comments about the movie seem to indicate as much) but a good movie compares to an orchestral music piece. Despite so many elements being brought together, there's harmony. Venom lacks that consistency, you'll be wondering how characters arrived in certain places or how time is passing in an uneven way. I usually believe its poor editing, but I thought the fight scenes were cut together surprisingly well. I don't know whether to point the finger at the editor, the studio or the director but they could have done a better job, especially with such a big project.I don't want to make excuses for Venom but the last not I'll make was the movie was fun the whole way through. I never got the impression that the movie was taking itself very seriously (the interplay between Eddie and Venom was a little tongue-in-cheek) and that helped me get on board. Despite this not being a landmark for superhero movies, not every movie in the genre needs to be Infinity War and with the different vibe Venom goes for, there's enough here to keep you happy for the whole picture.Despite the negative word of mouth surrounding Venom leading up to the release, I was rooting for this movie. Walking out of the theatre, I thought of another film Ruben Fleischer directed called Gangster Squad. Similar to Venom, that movie had a lot going for it but tripped up in a couple of key areas (the worst being the horribly hammy dialogue). The character design, the CGI, the action and even the central performance are all good to great here, and I liked the fact that we're getting more anti-heroes instead of boy scout superheroes. But Venom also stumbles over corny dialogue, some miscast actors and actresses and a lack of polish that the top end superhero movies have. I would really like to see a sequel to this, maybe they'd be able to iron out more of the kinks on the second try and go for a little more edge. Venom is a mixed bag, but I think the good outweighs the bad easily and the critics were too harsh on this. I'd give Venom a 7.5/10 but I can't quite go to 8 on it so I must round down. If you're interested, go check it out but if you're not sold, waiting for it to be on your preferred streaming service isn't a bad idea.","
            10/10
            "
"pigointment","3 October 2018","This movie is lit. I loved the part where carnage made a surprise entrance and killed riot. Spiderman was also amazing. It rlly bumbed me when eddie brock dies but they will probably revive him in far from home.","
            10/10
            "
"BrickNash","8 October 2018","This is a highly enjoyable romp with quite a likeable anti-hero. Tom Hardy is both engaging and hilarious as both Eddie Brock and the voice of Venom, and the two and fro between the two characters is what really makes the film work.As a film though, it's fine, but relatively unspectacular. It follows a reasonably generic Marvel-style pattern which guarantees it's head is kept above water, but it also means that there is a little case of ""Seen it before"" happening. The script could be better and the CGI is pretty terrible and looks more like late 90s tier computer images.However the Venom personality, while essentially evil, becomes incredibly endearing towards the end of the film, and as such and ropy effects or script blandness were made redundant, plus I was left hoping for a sequel.If they can get a better script with sharper banter between Brock and Venom and have the film a bit less generic in structure then this could be a fantastic franchise all on its own. No Spider-Man required!All in all, a great start and a very entertaining film which has it where it counts.Recommended!","
            10/10
            "
"bhernandez2216","12 October 2018","Tom Hardy played the best Anti-Hero/Supervillian character Eddie Brock/Venom, of the whole entire MCU, much better than Topher Grace's Venom from Spider-Man 3. Nice work Tom Hardy. Truly nice work.We Are VENOM.","
            7/10
            "
"Darling_imonlydreaming","20 October 2018","Just go see it! Very well done! Tom hardy was also incredible!","
            7/10
            "
"wallerb8090-59-743871","25 October 2018","I really enjoyed the movie, was really a great one. Its really a good thing to know that the venom was more of good than evil.","
            9/10
            "
"rgkarim","5 October 2018","Marvel holds many cards in the world of Hollywood, and despite the hope of a united universe, Sony pictures still holds off in giving us a united front for our superhero crew. Tonight, a new contestant enters the park, not so much a hero as an antihero, this creature has pulled in a noble fanbase and inspired a number of other characters in the process. If you've got the hints you know what I'm reviewing, so let's get started as Robbie K reviews: Movie: Venom (2018)Director:
 Ruben Fleischer
Writers:
 Scott Rosenberg (screenplay by), Jeff Pinkner(screenplay by) 
Stars:
 Tom Hardy, Michelle Williams, Marcella Bragio 
LIKES: The Dark Aspect: You'll see a lot of jabs at this movie, but this installment at least gave us a taste of the darker side of the titular character. The movie dips into how not everything is gold in the realm of superpowers, as well as how grey everything can really be in the complex world of humans vs. the unknown. It also allowed for some more intense action scenes to come into play, including some finishes the fanbase has been looking forward to for some time. The Action... sort of: There are moments in Venom that feel well at home with MCU level style of battling. Venom has at least two winning sequences for me that have explosions, choreographed take downs of extras, and some sweet utilization of CGI to bring out Venom's fluid, whip like movements to bare. It's not the most dynamic, but it is miles above his first appearance back in Spiderman 3. Sound Editing: Probably not what most are looking for, I enjoyed the sound effects brought by the movie team. You've got the alien slithering, the roiling growls of the hungry beast, plenty of speaker shattering booms, and enough effects to wrap together to make for the action scenes. Tom Hardy: The star of the show and perhaps the best casting call for this movie, Hardy is certainly the leading component of his film. His ability to play an awkward, down on his luck, vigilante reporter is quite spot on, as well as the uncanny ability to play a crazy person as well. It came off naturally, held good chemistry with the rest of the crew, and certainly was entertaining to watch him interact with a digital, altered voice of Venom. I've said it before, but Hardy's ability to play any type of role continues to be present in his acting. Comedy: Like most Marvel movies, Venom is loaded with comedy to get you laughing and ironically may be the biggest aspect of the movie. Both intentionally and unintentionally, the movie had me laughing, primarily at the banter between Venom and Eddie Brock through much of the movie. The insults are on point, the delivery of the lines, and even Venom's questionable morals are all entertaining for this reviewer and probably the biggest point one should go in wanting to see. The End Credits Teaser: Not fully relevant to Venom, the post credit scene is worth the wait and hints at a huge potential for the next Sony-Marvel production coming in December. A little teaser to see if you want to take a trip into that. DISLIKES: The CGI: Still better than anything I could do, Venom didn't quite have the same definition and attention to detail that its Disney infused brothers do. The graphic are a bit messy, for although fluid, looks like living spaghetti trying to take form in many ways. Perhaps an homage to the early 2000s graphic style, Venom needed some upgrading to match the graphic expectations that the movie fans most likely desire. The Story: Hinting and promising so much in the trailer, Venom's story department does hit the dark aspect that this antihero demands. Yet, it still took shortcuts for this film, skipping over a lot of build-up, character development, and even just plot development to get to the goods and comedy I guess. Other characters are very one-dimensional and shallow, relationships are very fickle and seem to switch faster than a light switch, and in many cases crosses into cheesy proportions that didn't work for me. Grandiose displays may be something that younger audiences like,, but the story element still needs some tweaking to get to the Disney level. The Other Symbiotes: I get this was the start of the franchise, but the advertisements really hammered into us the potential to see other creatures more than Venom take some screen time. Sadly, they skimped on these as well, forcing to barely touch on these creatures before moving on to another poor plot point. Even the main antagonist in this film didn't get much time worth warranting, once more digging at the weaker storytelling of this studio. Even Venom took some time getting himself on screen, a sad use of merchandising rights when it could have been so much better. The Anticlimactic Action: Venom does have some nice action scenes as mentioned before, but the problem is that they are often short lived or very carbon copy. The chase scene showed promise, and the first-time combat had its moments, but they utilized their tricks a little too quickly. The ending promised a potential to have a real, epic clash of the Symbiotic titans going, but again Sony cut the corners and left me wanting more to show off their powers. Venom was very underpowered in this film, and they did little to utilize the keys handed to them. The props for the mid-credit scene: Actor choice for the surprise guest at the film is 50:50 to me, but the props to make him come to life... not very good for me. Should a Venom 2 make it to the big screen, I'm hoping their wardrobe department makes some better efforts to get the next antagonist in. The VERDICT: Go in expecting a comedy and you will love this movie and have the most fun. However, in regards to the full picture part of the film, it still has more to develop before it meets expectations set by Disney. Hardy and some mediocre action scenes can bring some entertainment, but it doesn't quite hit the home run outside of that. It's a bit cheesy at times, a little overboard in terms of the comedy, and doesn't quite deliver on the action, other symbiotes or even the story. Yet, it has enough special effects kicks to warrant a theater visit, but only if you can handle the limitations mentioned. My scores are: Action/Horror/Sci-Fi: 6.5
Movie Overall: 5.5-6.0","
            10/10
            "
"classicsoncall","6 February 2019","I actually enjoyed this one pretty well and I don't know why. It's an average anti super-hero flick, and Venom (Tom Hardy) is every bit as snarly and drooling as his presence suggests on the comic book page. The movie version here bypasses any mention of his earliest association with Spider-Man, so it seems that that will be a sequel for another day. The tone of the story is darker than those of most in the Marvel universe franchise and a welcome break from the ones in which the hero saves the day just in the nick of time. I couldn't help feeling that the mastermind behind the Life Foundation was based on industrialist Elon Musk, who's many irons in the fire make him seem more than erratic at times. Riz Ahmed was somewhat one-dimensional in his portrayal of Carlton Drake, but what would you expect of an egomaniac who didn't mind squandering the lives of impoverished street people to achieve his personal goals?I'm a little conflicted on the character of Eddie Brock, nothing to do with Tom Hardy, but the way in which he's portrayed over the course of the story as that of a loser. Yeah, he lost his job because of his arrogance with Carlton Drake, but the guy had some integrity. However in becoming a host for the symbiote Venom, he's actually turning into a malevolent character with no qualms about taking out neighborhood scum. So it remains to be seen how the Brock/Venom dynamic progresses in the Marvel movie universe.My main regret, now that I've finally seen the picture, is knowing that this is the last film in which we'll get to see a cameo by the great Stan Lee, creator of many of the super-heroes in the Marvel Comics world. Before he passed on, he did get to voice his own cartoon character in the recent 'Spider-Verse' film, but this was his last physical presence in a live action flick. For those not in the know, he was the 'Dapper Dog Walker' near the end of the movie who tells 'both' Eddie/Venom not to give up on Anne (Michelle Williams). Physically he looked great on screen, which makes it all the harder to believe he passed away just a short month after the picture's release.","
            7/10
            "
"alhinai-95224","9 October 2018","Really I'm not a big fan of superhero's movie, but this one is pretty good.
Tom make the movie even better, he did a great job.
Well done Tom 👏🏻","
            10/10
            "
"Justinpren","13 December 2018","Venom is a really fun movie. There's nothing serious or about the film - it's definitely not designed to portray a deep or meaningful philosophy of life or the vastness of human experience - it's designed to be enjoyable and exciting for people who like to pretend to shoot webs out of their hands or teleport down the street on their way to work or run at super sonic speeds when they're out on their jog. Venom is everything that makes marvel movies and comics what they are. Don't get sucked in by the negative reviews, spend an hour and a half watching Venom, you'll love it.","
            7/10
            "
"Glodar322","12 December 2018","Slow start but from early mid to end it is crazy fun movie, lots of action and great writing. I really liked movie, would love it laster longer or that start wasn't so slow but still I hope for sequel because I on end really enjoyed watching this movie and if you are fan of action, some sci-fi like superheroes and little bit of comedy then you will like it too.","
            2/10
            "
"bigBang8","8 October 2018","Everything youd want from a Venom movie. Good cgi, great leads and now if there is a sequel they'll do anything they want. Hope there is no spiderman and if there has to be Venom should be a main character in his movie. Unless they plan to pull Avengers or something.","
            10/10
            "
"jackgdemoss","12 October 2018","PG-13. Comedic tone. Buddy comedy. This was NOT venom. This film is so difficult to give a fair rating. On the one hand, it stood very well on its own two feet. It was funny, well-paced, and had some really good-looking action scenes. On the other hand, it is being marketed as a VENOM movie. Venom is not some goody parasite that is willing to take orders from his host. 
 Most films benefit from tail coating on a brand name character, but this film was severely hindered by it. If you call this movie ""Symbiosis"" and market it as non-marvel, it is an 8/10 solid film for the whole family. I would much prefer a Venom title to be rated R, dark, gritty, and not holding back the punches. I thoroughly enjoyed the movie and believe others should see it, but please do not go in with the mindset that you are about to see the Venom you know and love on the big screen.","
            10/10
            "
"yellowmarlin","4 October 2018","This film has no redeeming features. It is not only the worst movie that I've seen so far this year, it is also the worst Marvel movie to date. It is even worse than Fantastic Four and has most in common with Hulk, a comparison that no film ever wants. What Michelle Williams is doing in this steaming pile of garbage I will never know. It gets one star for almost making me smile at one point, and another star out of pity.","
            9/10
            "
"homeflash","29 November 2018","Normally I don't give out 10 .. but this movie is great from start til the end although some plots are expected. (especially at the end)As a normal viewer, your expectation of monster movie will be like the monster is a bad guy.However, this movie is really coming out of the norm. The monster looking like alien is actually a hero at the end and it was a loser. And it matches his partner on earth which is also a loser. So what do you get when you get two losers, double negative makes it positive. A hero therefore is born.Nice CGI, good story.This movie also has some fun dialogue and I enjoyed it very much. I think it is way better than all the spider man movies.I recommend this movie very much.I think the theme of the story should be. Scary is not from outside, it is from inside. Hero does not have a look. Do not judge a book by its cover.","
            2/10
            "
"alfaress","3 October 2018","Enjoy the movie it's perfect. Critics will always make a bad comment like they know everything. Just perfect...","
            8/10
            "
"iamkamile","4 October 2018","I watched this movie knowing the horrible reviews, so I kept waiting for any screw up moments, but I won't say I found lots of it. I mean sure, the CGI could be better, especially in the final fight between Venom and Riot, also R rating would make this movie even better, but it didn't change the fact that the movie is fun! The interaction between Brock and Venom was hilarious, and Tom Hardy is just, amazing.So, if you're hesitate to watch because of the horrible reviews, don't, we watch movies to have fun, not to try to find the mistakes the paid reviews says. Have a good life!","
            10/10
            "
"rustonreviews","7 October 2018","I distinctly remember seeing Venom for the first time in the 90's animated Spider-Man series. I still own the VHS of The Venom Saga, which was the 3 part storyline that introduced the black suit and Venom to the show. Venom quickly became my favourite comic book villain. I wore out the VHS (I still own it for pure nostalgia) and sought out further Venom stories to devour. First appearing at the very end of The Amazing Spider-Man #299 (with #300 being his first full story), Venom immediately became a fan favourite and has since featured in countless classic storylines that have cemented his iconic status in comic book history. Sam Raimi's troublesome (yet over-hated) Spider-Man 3 introduced the first live action Venom to the big screen, with mixed results to say the least. Following the announcement of a stand alone Venom film (without Spider-Man and separate from the MCU), the general response from fans was confusion. Spider-Man plays a crucial role in Venom's origin, so his exclusion from the film felt like a critical step in the wrong direction. Nevertheless, Spider-Man's absence from the film is the very least of its problems. Journalist Eddie Brock (Hardy) has hit rock bottom. Following his investigation into the secret experimental trials taking place within the shady Life Foundation, he swiftly loses both his job as well as his relationship with district attorney Anne Weying (Williams). However, Brock soon finds himself ""bonding"" with an alien symbiote from another world, forging an odd alliance with the alien parasite to become the malevolent beast Venom. Together they must put aside their differences to stop Carlton Drake (Ahmed), the charming yet psychopathic leader of the Life Foundation, who believes he can use the symbiotes to upgrade mankind into a superior species. Venom is a disaster. Nothing in the film works. The script is badly paced with scenes that feel completely rushed and lazily constructed, and the storyline feels painfully underdeveloped. It all feels very first draft, and all sense of character development is sorely lacking. Hardy struggles to convey a solid Eddie Brock and gives a strange and sometimes goofy performance that does the character no justice whatsoever, and Ahmed's Carlton Drake feels disappointingly one dimensional. The motivations behind his villain plans are never made clear, resulting in one of the least interesting comic book villains in some time. A fundamental lack of chemistry between Hardy and Williams weakens the film. I never bought into their relationship and felt as though it added very little, if nothing at all, to the overall storyline. Although Venom himself looks fantastic on screen, it takes too long for him to finally make an appearance. Weirdly, the film introduces a strange ""buddy comedy"" element to Brock's relationship with the symbiote, resulting in some pretty awkward forced humour that feels as though it was injected into the film for the sheer sake of it. Unfortunately, the action sequences are also dull and uninspiring, and even the final battle feels criminally anticlimactic.The bottom line with Venom is that it's boring. It doesn't try to tell a good story, nor is it interested in making a faithful adaptation. Audiences who aren't familiar with Venom or his classic comic book storylines may enjoy the film as dumb popcorn entertainment. For those invested in Venom as a character, don't bother. Venom is a tedious viewing experience that makes me wonder just how they could have got it so catastrophically wrong.","
            7/10
            "
"mollicadavide","7 October 2018","Do not expect the original marvel plot, is something new and good!
I'm judging the movie from a different prospective.
I laugh and I liked a lot, Venom personality was very very close to the original venom, only the story is different from Spider-Man Comic.
Go and enjoy the movie as it is, without expectation.","
            1/10
            "
"michellelm-65430","20 October 2018","I normally would never see a movie like this but A Star Is Born was sold out and I picked this movie and i was absolutely surprised how much i loved it!!!!!! I never heard of Tom Hardy before but now i have a new crush!! He was fabulous and the movie was funny, sad, it had love, loss, etc.. Loved it!!!!!!!!","
            7/10
            "
"kenc-05236","12 May 2021","When I first watched it I didn't know this movie was so polarizing. Personally I really like(as seen by my score) but it's not the best movie of the year or something. The action sequence are great especially the final battle but the human subplot drags it down a bit. Like maybe another swing at the script would have done good but oh well it's serviceable. Although humor drops the ball in some area. What I liked the most was finally seeing venom on the big screen. That may seem I'm biased but the movie was just a fun and good at times movie that I think deserve it fair share if credit.","
            10/10
            "
"Tecnicinismo","3 October 2018","That's the best explanation I can give to this poorly written but worst edited mess. The storyline is Catwoman style bad and Tom Hardy is struggling so much on screen trying to carry a script that honestly looks like a teenager's attempt to write a Goosebumps story. 
""My favorite scenes where left out of the movie"". CAN YOU TELL MR. HARDY? They barely left any ""movie"" in the movie to begin with.Complete failure cashgrab. People who say is just ""fine"" do not realize the harm this does to the creative industry.","
            6/10
            "
"pmtaran","12 October 2018","Overall a fun and entertaining movie. Now I hope they continue it with a more intense sequel where he faces off against Carnage","
            8/10
            "
"tri-metal","20 October 2019","I get that the movie doesn't line up with the comics but this is what making movies is all about. Someone using their imagination to put their own spin on the way they want to tell the story! Now as far as the movie goes the action, special effects and yes even the story. I thought was well thought out, planned and executed, It left me wanting more and with hopes of seeing Carnage in a future installment and Eddy getting his love interest back.","
            10/10
            "
